X,Y,id,ANNO,MESE,GIORNO,ORA,STRADA_1,MESE_1,GIORNO_1,DATA,ORA_1,STRADA,CIVICO,STRADA_2,TIPO_VA,TIPO_VB
11.2269683531228,43.7367748902745,439490,2015,GENNAIO,GIOVEDI',09.35,VIA GHERARDO SILVANI,GENNAIO,GIOVEDÌ,2015/01/08,09.35,VIA GHERARDO SILVANI,,VIA ALFREDO LENSI,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2447457649075,43.7969537552406,439687,2015,GENNAIO,LUNEDI',15.40,VIA TADDEO ALDEROTTI,GENNAIO,LUNEDÌ,2015/01/19,15.40,VIA TADDEO ALDEROTTI,,VIA ANDREA CESALPINO,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2457192577299,43.7824883975431,439469,2015,GENNAIO,LUNEDI',15.30,VLE FILIPPO STROZZI,GENNAIO,LUNEDÌ,2015/01/05,15.30,VLE FILIPPO STROZZI,13,PLE MONTELUNGO,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2293359314721,43.7880758498727,439974,2015,FEBBRAIO,LUNEDI',20.50,VIA CLAUDIO MONTEVERDI,FEBBRAIO,LUNEDÌ,2015/02/02,20.50,VIA CLAUDIO MONTEVERDI,105,,VELOCIPEDE,
11.2497202591195,43.7721195304549,439789,2015,GENNAIO,LUNEDI',12.45,VIA DELLA SPADA,GENNAIO,LUNEDÌ,2015/01/26,12.45,VIA DELLA SPADA,13,,VELOCIPEDE,
11.2439202705957,43.7827362033429,439555,2015,GENNAIO,VENERDI',17.00,VLE BELFIORE,GENNAIO,VENERDÌ,2015/01/09,17.00,VLE BELFIORE,32R,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2273248119909,43.7865323092751,440774,2015,MARZO,VENERDI',14.20,PZA GIACOMO PUCCINI,MARZO,VENERDÌ,2015/03/27,14.20,PZA GIACOMO PUCCINI,25,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2523474429034,43.7773511615651,440411,2015,MARZO,LUNEDI',08.10,VIA NAZIONALE,MARZO,LUNEDÌ,2015/03/09,08.10,VIA NAZIONALE,90r,,AUTOCARRO,VELOCIPEDE
11.2714152603784,43.7661540325176,440478,2015,MARZO,MERCOLEDI',16.10,VLE GIOVANNI AMENDOLA,MARZO,MERCOLEDÌ,2015/03/11,16.10,VLE GIOVANNI AMENDOLA,,LNO DEL TEMPIO,IGNOTO,VELOCIPEDE
11.2382446587402,43.7950447746001,440481,2015,MARZO,MERCOLEDI',13.15,VIA GIOVAN FILIPPO MARITI,MARZO,MERCOLEDÌ,2015/03/11,13.15,VIA GIOVAN FILIPPO MARITI,,,VELOCIPEDE,
11.2289038745763,43.7895937179308,440367,2015,MARZO,GIOVEDI',15.30,VIA DI NOVOLI,MARZO,GIOVEDÌ,2015/03/05,15.30,VIA DI NOVOLI,FT. 5,,VELOCIPEDE,
11.2168669435509,43.7977856270306,439806,2015,GENNAIO,LUNEDI',14.25,VLE ALESSANDRO GUIDONI,GENNAIO,LUNEDÌ,2015/01/26,14.25,VLE ALESSANDRO GUIDONI,93t,,AUTOVETTURA PRIVATA,VELOCIPEDE
11.2375375091553,43.7701773254849,440947,2015,MARZO,MARTEDI',10.40,VIA GIACOMO ZANELLA,MARZO,MARTEDÌ,2015/03/31,10.40,VIA GIACOMO ZANELLA,13,,VELOCIPEDE,VELOCIPEDE
11.2711821813282,43.7693393614795,439604,2015,GENNAIO,MARTEDI',19.45,VLE GIOVANNI AMENDOLA,GENNAIO,MARTEDÌ,2015/01/13,19.45,VLE GIOVANNI AMENDOLA,38,,AUTOVETTURA PRIVATA,VELOCIPEDE
11.2493973954609,43.7806911889672,440839,2015,MARZO,MARTEDI',23.30,P.LE BAMBINE E BAMBINI DI BESLAN,MARZO,MARTEDÌ,2015/03/31,23.30,P.LE BAMBINE E BAMBINI DI BESLAN,,,VELOCIPEDE,
11.2417179621808,43.7804430409835,441191,2015,GENNAIO,GIOVEDI',09.00,VLE BELFIORE,GENNAIO,GIOVEDÌ,2015/01/15,09.00,VLE BELFIORE,37,,VELOCIPEDE,
11.2687023180287,43.7865108395246,440467,2015,MARZO,MERCOLEDI',20.55,PZA DELLE CURE,MARZO,MERCOLEDÌ,2015/03/11,20.55,PZA DELLE CURE,,VLE DEI MILLE,AUTOVETTURA PRIVATA,VELOCIPEDE
11.2563159806637,43.7755551201741,439581,2015,GENNAIO,LUNEDI',10.15,VIA CAMILLO CAVOUR,GENNAIO,LUNEDÌ,2015/01/12,10.15,VIA CAMILLO CAVOUR,9,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2462017917851,43.7813348082329,440361,2015,MARZO,GIOVEDI',10.25,PLE MONTELUNGO,MARZO,GIOVEDÌ,2015/03/05,10.25,PLE MONTELUNGO,,,AUTOVETTURA PRIVATA,VELOCIPEDE
11.1805961021988,43.7936734182264,439637,2015,GENNAIO,GIOVEDI',23.45,VIA PISTOIESE,GENNAIO,GIOVEDÌ,2015/01/15,23.45,VIA PISTOIESE,,VIA DELL'OSTERIA,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2128725000806,43.7730470379863,439411,2015,GENNAIO,VENERDI',08.15,VLE FRANCESCO TALENTI,GENNAIO,VENERDÌ,2015/01/02,08.15,VLE FRANCESCO TALENTI,,VLE ETRURIA,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2690104361574,43.7677240676375,440272,2015,FEBBRAIO,GIOVEDI',16.45,VIA PIETRO THOUAR,FEBBRAIO,GIOVEDÌ,2015/02/26,16.45,VIA PIETRO THOUAR,,VLE GIOVINE ITALIA,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2331745029299,43.7887663022098,439960,2015,FEBBRAIO,GIOVEDI',05.15,VLE FRANCESCO REDI,FEBBRAIO,GIOVEDÌ,2015/02/05,05.15,VLE FRANCESCO REDI,,VIA FRANCESCO VERACINI,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2309313319126,43.7959675313514,439595,2015,GENNAIO,MARTEDI',06.40,VIA CARLO DEL PRETE,GENNAIO,MARTEDÌ,2015/01/13,06.40,VIA CARLO DEL PRETE,15/R,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2509237962461,43.7742262333973,440402,2015,MARZO,GIOVEDI',18.00,VIA PANZANI,MARZO,GIOVEDÌ,2015/03/05,18.00,VIA PANZANI,16/R,,VELOCIPEDE,MOTOCICLO A SOLO
11.2707354260123,43.7710357271336,439932,2015,GENNAIO,VENERDI',15.30,VLE ANTONIO GRAMSCI,GENNAIO,VENERDÌ,2015/01/30,15.30,VLE ANTONIO GRAMSCI,,PZA CESARE BECCARIA,VELOCIPEDE,AUTOVETTURA PRIVATA
11.1907358976607,43.7975416109039,440409,2015,MARZO,DOMENICA,10.45,VIA DELLA CUPOLA,MARZO,DOMENICA,2015/03/08,10.45,VIA DELLA CUPOLA,,VIA DOMENICO MICHELACCI,AUTOVETTURA PRIVATA,VELOCIPEDE
11.2908780648518,43.7793224781723,439647,2015,GENNAIO,VENERDI',13.10,VLE TERENZIO MAMIANI,GENNAIO,VENERDÌ,2015/01/16,13.10,VLE TERENZIO MAMIANI,,VLE EDMONDO DE AMICIS,AUTOVETTURA PRIVATA,AUTOVETTURA PRIVATA
11.2808796587407,43.7840408777833,439718,2015,GENNAIO,MARTEDI',11.00,VIA GUGLIELMO MARCONI,GENNAIO,MARTEDÌ,2015/01/20,11.00,VIA GUGLIELMO MARCONI,22,,AUTOVETTURA PRIVATA,VELOCIPEDE
11.2622192966211,43.7854095388146,440575,2015,MARZO,GIOVEDI',17.40,VIA DEL PONTE ROSSO,MARZO,GIOVEDÌ,2015/03/12,17.40,VIA DEL PONTE ROSSO,55r,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2095808317235,43.7814805711092,440340,2015,MARZO,MERCOLEDI',06.45,VIA DELL'ARGIN GROSSO,MARZO,MERCOLEDÌ,2015/03/04,06.45,VIA DELL'ARGIN GROSSO,,VIA FRANCESCO P. MICHETTI,VELOCIPEDE,AUTOVETTURA PRIVATA
11.246165612345,43.7715454258629,440189,2015,FEBBRAIO,VENERDI',16.10,LNO AMERIGO VESPUCCI,FEBBRAIO,VENERDÌ,2015/02/20,16.10,LNO AMERIGO VESPUCCI,8H,,VELOCIPEDE,MOTOCICLO A SOLO
11.2977394556331,43.7680122751108,440275,2015,GENNAIO,VENERDI',18.30,VIA ARETINA,GENNAIO,VENERDÌ,2015/01/30,18.30,VIA ARETINA,313,,VELOCIPEDE,
11.220445346802,43.7820147497088,440311,2015,MARZO,LUNEDI',08.50,PLE DELLE CASCINE,MARZO,LUNEDÌ,2015/03/02,08.50,PLE DELLE CASCINE,,VLE DEGLI OLMI,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2694732275535,43.77102973839,439830,2015,GENNAIO,MERCOLEDI',10.30,BORGO LA CROCE,GENNAIO,MERCOLEDÌ,2015/01/28,10.30,BORGO LA CROCE,21/r,,VELOCIPEDE,VELOCIPEDE
